Timestamp,ProcessingLatency(ms),UILatency(ms),TotalLatency(ms)
2025-05-19 13:40:51.353,0.04,13.93,13.97
2025-05-19 13:40:51.379,0.09,10.3,10.4
2025-05-19 13:40:51.492,0.07,7.06,7.12
2025-05-19 13:40:51.497,0.07,2.6,2.67
2025-05-19 13:40:51.628,0.04,1.37,1.41
2025-05-19 13:40:51.778,0.04,3.76,3.8
2025-05-19 13:40:51.823,0.1,3.36,3.46
2025-05-19 13:40:52.003,0.05,3.13,3.18
2025-05-19 13:40:52.071,0.07,3.34,3.41
2025-05-19 13:40:52.163,0.05,2.87,2.92
2025-05-19 13:40:52.225,0.19,3.9,4.09
2025-05-19 13:40:52.409,0.09,3.84,3.92
2025-05-19 13:40:52.418,0.05,5.29,5.34
2025-05-19 13:40:52.598,0.19,3.05,3.23
2025-05-19 13:40:52.622,0.07,2.79,2.86
2025-05-19 13:40:52.798,0.29,5.29,5.58
2025-05-19 13:40:52.842,0.07,2.32,2.39
2025-05-19 13:40:52.983,0.11,2.67,2.78
2025-05-19 13:40:53.051,0.05,8.28,8.33
2025-05-19 13:40:53.184,0.03,1.26,1.29
2025-05-19 13:40:53.223,0.1,3.31,3.41
2025-05-19 13:40:53.368,0.07,3.22,3.3
2025-05-19 13:40:53.421,0.1,2.91,3.01
2025-05-19 13:40:53.588,0.08,13.17,13.25
2025-05-19 13:40:53.696,0.07,4.18,4.24
2025-05-19 13:40:53.731,0.09,2.36,2.45
2025-05-19 13:40:53.881,0.06,3.12,3.18
2025-05-19 13:40:53.938,0.25,5.46,5.7
2025-05-19 13:40:54.068,0.04,2.03,2.07
2025-05-19 13:40:54.123,0.09,5.33,5.42
2025-05-19 13:40:54.284,0.07,4.24,4.31
2025-05-19 13:40:54.326,0.05,3.16,3.22
2025-05-19 13:40:54.502,0.05,2.96,3.01
2025-05-19 13:40:54.522,0.06,8.21,8.27
2025-05-19 13:40:54.693,0.13,4.58,4.71
2025-05-19 13:40:54.731,0.1,5.15,5.25
2025-05-19 13:40:54.883,0.08,2.42,2.49
2025-05-19 13:40:54.939,0.06,4.55,4.61
2025-05-19 13:40:55.072,0.06,6.75,6.81
2025-05-19 13:40:55.140,0.22,5.32,5.54
2025-05-19 13:40:55.286,0.05,3.66,3.71
2025-05-19 13:40:55.355,0.06,7.22,7.28
2025-05-19 13:40:55.495,0.08,3.55,3.62
